sportmonks_fixture_id,bookmaker,market,label,selection_name,odds,implied_probability,timestamp,finished,league_id,season_id,mapping_confidence,reason
19609162,Bet365,Last Goal Scorer,Last,Javier Rodriguez,17.0,0.058824,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Pablo Martin Gavi,10.0,0.1,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Javi Guerra,7.0,0.142857,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Joao Paulo Fernandes,81.0,0.012346,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Edilson Diney,126.0,0.007937,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Jesus Rodriguez,5.0,0.2,,True,732,,UNMAPPED,no_match
19609162,Bet365,Last Goal Scorer,Last,Gonzalo Garcia,4.5,0.222222,,True,732,,UNMAPPED,no_match
19609162,Bet365,Away Anytime Goal Scorer,Anytime,Joao Paulo Fernandes,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609162,Bet365,Away Anytime Goal Scorer,Anytime,Edilson Diney,34.0,0.029412,,True,732,,UNMAPPED,no_match
19609162,Bet365,Away First Goal Scorer,First,Joao Paulo Fernandes,81.0,0.012346,,True,732,,UNMAPPED,no_match
19609162,Bet365,Away First Goal Scorer,First,Edilson Diney,126.0,0.007937,,True,732,,UNMAPPED,no_match
19609162,Bet365,Away Last Goal Scorer,Last,Joao Paulo Fernandes,81.0,0.012346,,True,732,,UNMAPPED,no_match
19609162,Bet365,Away Last Goal Scorer,Last,Edilson Diney,126.0,0.007937,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Anytime Goal Scorer,Anytime,Sergio Gomez,2.5,0.4,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Anytime Goal Scorer,Anytime,Marc Bernal,3.5,0.285714,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Anytime Goal Scorer,Anytime,Benat Turrientes,4.0,0.25,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Anytime Goal Scorer,Anytime,Jon Martin,5.5,0.181818,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Anytime Goal Scorer,Anytime,Javier Rodriguez,5.0,0.2,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Anytime Goal Scorer,Anytime,Pablo Martin Gavi,3.1,0.322581,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Anytime Goal Scorer,Anytime,Javi Guerra,2.38,0.420168,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Anytime Goal Scorer,Anytime,Jesus Rodriguez,1.83,0.546448,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Anytime Goal Scorer,Anytime,Gonzalo Garcia,1.73,0.578035,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home First Goal Scorer,First,Sergio Gomez,7.5,0.133333,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home First Goal Scorer,First,Marc Bernal,11.0,0.090909,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home First Goal Scorer,First,Benat Turrientes,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home First Goal Scorer,First,Jon Martin,19.0,0.052632,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home First Goal Scorer,First,Javier Rodriguez,17.0,0.058824,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home First Goal Scorer,First,Pablo Martin Gavi,10.0,0.1,,True,732,,UNMAPPED,no_match
