sportmonks_fixture_id,fixture_id,player_id,player_name,team_id,match_position,starter,captain,match_minutes,match_goals,match_assists,match_shots,match_shots_on_target,match_xg,league_id,season_id,match_date,goals_last_3,goals_last_5,goals_last_10,assists_last_5,minutes_last_5,starts_last_5,shots_last_5,shots_on_target_last_5,xg_last_5,xg_last_10,goals_per_90,xg_per_90,starter_probability,recent_form_score,position,position_group,formation,lineup_available,lineup_quality_score,starting_xi_json,bench_json,goalkeeper_player_id,expected_minutes,lineup_status,team_strength_proxy,opponent_defense_proxy,target_anytime,first_goal_player_id,target_first_goal,target_most_likely,split,implied_probability_anytime,odds_anytime,implied_probability_first,odds_first,api_football_fixture_id,has_goalscorer_odds
19609153,19609153,37316349,Lukas Cerv,18718,,False,False,0,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,1,1,1,442,5,0,2,0.2175,0.2965,0.2036,0.0443,1.0,1.151,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,90.0,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.13095233333333334,7.666666666666667,0.05977933333333333,17.166666666666668,1538999,1
19609153,19609153,23697916,David Zima,18718,,False,False,0,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,448,5,0,1,0.1202,0.7767,0.0,0.0241,1.0,0.0481,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,90.0,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.060317666666666665,17.0,0.028617,35.0,1538999,1
19609153,19609153,37563550,Hyun-jun Yang,18567,,False,False,0,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,1,0,321,4,0,1,0.2679,0.8064,0.0,0.0751,0.8,0.108,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,75.6,bench,0.048053846153846155,0.3076923076923077,0,80902.0,0,0,test,0.155844,6.5,0.07340400000000001,14.583333333333334,1538999,1
19609153,19609153,8101006,Adam Hlozek,18718,,False,False,26,0,0,0,1,0.3408,732,26618,2026-06-12 02:00:00+00:00,1,1,3,0,290,4,0,2,1.064,3.0352,0.3103,0.3302,0.8,0.381,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,75.6,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.20952033333333334,4.886666666666667,0.09503533333333335,10.583333333333334,1538999,1
19609153,19609153,9967153,Kang-in Lee,18567,FWD,True,False,90,0,1,0,1,0.0703,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,FWD,FWD,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,18.0,starter,0.048053846153846155,0.3076923076923077,0,80902.0,0,0,test,0.1763636,7.0,0.0820514,15.8,1538999,1
19609153,19609153,4313,Heung-min Son,18567,FWD,True,True,69,0,0,0,1,0.2128,732,26618,2026-06-12 02:00:00+00:00,0,0,3,1,328,4,0,3,1.0272,3.5013,0.0,0.2819,0.8,0.7186,FWD,FWD,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,75.6,starter,0.048053846153846155,0.3076923076923077,0,80902.0,0,0,test,0.3465906666666667,2.9,0.170635,5.866666666666667,1538999,1
19609153,19609153,4569,Jindrich Stanek,18718,,False,False,0,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,377,4,0,0,0.0,0.0,0.0,0.0,0.8,0.0,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,75.6,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,,,,,1538999,0
19609153,19609153,30066,Michal Sadílek,18718,,False,False,26,0,0,0,2,1.0506,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,464,5,0,2,1.1676,1.3363,0.0,0.2265,1.0,0.3078,,,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,90.0,bench,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.090909,11.0,0.04151433333333334,24.333333333333332,1538999,1
19609153,19609153,79540,Jaroslav Zelený,18718,MID,True,False,90,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,0,0,0,365,4,0,0,0.0,0.0,0.0,0.0,0.8,0.0,MID,MID,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,75.6,starter,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.07008566666666667,14.333333333333334,0.033497,30.666666666666668,1538999,1
19609153,19609153,80675,Patrik Schick,18718,FWD,True,False,67,0,0,0,0,,732,26618,2026-06-12 02:00:00+00:00,0,2,4,1,276,3,0,4,0.4516,2.1223,0.6522,0.1473,0.6,2.4925,FWD,FWD,,True,0.800,"[  310145 37342718 37561621   322964   321093     4313   448422   320838
 37342720  9967153 37420363 12759176 24469159    80304 37594544    80902
    80675 24469162    83003    79540    80655 37656175]","[29763086 31626482    52868 11711899 37622054   608280   461590 37621326
 29735915 37563550   320844 37528761   320953 37342723 13186239 23697916
    79972    32048  8101006    80926 37316349 26313942 37259977     4569
    30066    80707  4926025 24816824 37776545 37316363]",12759176.0,61.2,starter,0.11076923076923076,0.19230769230769232,0,80902.0,0,0,test,0.32638866666666666,3.0666666666666664,0.15632733333333335,6.3999999999999995,1538999,1
