sportmonks_fixture_id,player_id,player_name,selection_name,market,bookmaker,odds,implied_probability,mapping_confidence,mapping_method,mapping_score,label,timestamp,finished
19135818,172633,Liam Polworth,Liam Polworth,Goalscorers,bet365,19.0,0.052632,HIGH,exact,1.0,Anytime,2024-08-01 17:50:05,True
19135818,37586635,Christiaan Ravych,Christiaan Ravych,Team Goalscorer,bet365,12.0,0.083333,HIGH,exact,1.0,First,2024-08-01 17:50:05,True
19135818,12016945,Edgaras Utkus,Edgaras Utkus,Team Goalscorer,bet365,12.0,0.083333,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,61187,Hannes Van Der Bruggen,Hannes Vanderbruggen,Team Goalscorer,bet365,13.0,0.076923,HIGH,normalized_exact,0.99,Last,2024-08-01 17:50:05,True
19135818,130106,Senna Miangue,Senna Miangue,Team Goalscorer,bet365,15.0,0.066667,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,15524632,Jesper Daland,Jesper Daland,Team Goalscorer,bet365,19.0,0.052632,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,37356232,Nazinho,Flavio Nazinho,Team Goalscorer,bet365,10.0,0.1,MEDIUM,token_overlap,0.93,Last,2024-08-01 17:50:05,True
19135818,12016945,Edgaras Utkus,Edgaras Utkus,Team Goalscorer,bet365,12.0,0.083333,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,61187,Hannes Van Der Bruggen,Hannes Vanderbruggen,Team Goalscorer,bet365,13.0,0.076923,HIGH,normalized_exact,0.99,Last,2024-08-01 17:50:05,True
19135818,130106,Senna Miangue,Senna Miangue,Team Goalscorer,bet365,15.0,0.066667,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,15524632,Jesper Daland,Jesper Daland,Team Goalscorer,bet365,19.0,0.052632,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,173948,Bruce Anderson,Bruce Anderson,Team Goalscorer,bet365,4.75,0.210526,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,8839,K. Vassell,Kyle Vassell,Team Goalscorer,bet365,5.5,0.181818,HIGH,initial_last,0.95,Last,2024-08-01 17:50:05,True
19135818,4285,Matty Kennedy,Matthew Kennedy,Team Goalscorer,bet365,5.5,0.181818,HIGH,initial_last,0.95,Last,2024-08-01 17:50:05,True
19135818,173003,Danny Armstrong,Daniel Armstrong,Team Goalscorer,bet365,8.5,0.117647,HIGH,initial_last,0.95,First,2024-08-01 17:50:05,True
19135818,149461,Brad Lyons,Brad Lyons,Team Goalscorer,bet365,11.0,0.090909,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,37590770,David Watson,David Watson,Team Goalscorer,bet365,11.0,0.090909,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
19135818,175126,Fraser Murray,Fraser Murray,Team Goalscorer,bet365,13.0,0.076923,HIGH,exact,1.0,Last,2024-08-01 17:50:05,True
