symbol,side,opened_at,closed_at,lot,pnl,close_reason,loss_streak_after
USDJPY,BUY,2026-04-02T05:41:30.506000,2026-04-02T05:42:00.727000,0.08,-0.05018474258387563,time_exit,3
USDJPY,BUY,2026-04-02T05:42:30.716000,2026-04-02T05:43:05.452000,0.08,-0.9034783918084969,time_exit,3
USDJPY,BUY,2026-04-02T05:45:00.547000,2026-04-02T05:45:33.538000,0.08,-0.2509489005299013,time_exit,3
USDJPY,BUY,2026-04-02T05:46:02.607000,2026-04-02T05:46:33.432000,0.08,0.6712096777470342,time_exit,0
USDJPY,BUY,2026-04-02T05:47:00.080000,2026-04-02T05:47:18.861000,0.01,0.05017655876621974,stop_loss,0
USDJPY,BUY,2026-04-02T05:47:30.968000,2026-04-02T05:48:01.590000,0.01,-0.056451107068846075,time_exit,1
USDJPY,BUY,2026-04-02T05:48:30.695000,2026-04-02T05:49:01.023000,0.02,-0.11290079783248724,time_exit,2
USDJPY,BUY,2026-04-02T05:49:37.068000,2026-04-02T05:49:55.869000,0.04,-0.551605238518365,stop_loss,3
USDJPY,BUY,2026-04-02T05:50:30.252000,2026-04-02T05:51:01.450000,0.08,-0.7528372554070544,time_exit,3
USDJPY,BUY,2026-04-02T05:55:00.074000,2026-04-02T05:55:13.130000,0.08,0.42653127866714824,stop_loss,0
USDJPY,BUY,2026-04-02T05:55:30.665000,2026-04-02T05:56:00.972000,0.01,-0.056451107068846075,time_exit,1
USDJPY,BUY,2026-04-02T05:56:30.635000,2026-04-02T05:57:01.258000,0.02,-0.03763501561871119,time_exit,2
USDJPY,BUY,2026-04-02T05:57:33.776000,2026-04-02T05:58:04.516000,0.04,-0.25091112100793267,time_exit,3
USDJPY,BUY,2026-04-02T05:58:30.343000,2026-04-02T05:59:01.822000,0.08,0.35124252041622256,time_exit,0
USDJPY,BUY,2026-04-02T05:59:30.486000,2026-04-02T06:00:00.492000,0.01,-0.1442711796364124,time_exit,1
USDJPY,BUY,2026-04-02T06:55:00.114000,2026-04-02T06:55:30.233000,0.02,-0.1380019822102357,time_exit,2
USDJPY,BUY,2026-04-02T06:56:00.235000,2026-04-02T06:56:30.479000,0.04,0.24460930781298057,time_exit,0
USDJPY,BUY,2026-04-02T06:58:00.253000,2026-04-02T06:58:12.734000,0.01,-0.21305302585350908,stop_loss,1
USDJPY,BUY,2026-04-02T07:01:00.166000,2026-04-02T07:01:33.246000,0.02,-0.11292417141871819,time_exit,2
USDJPY,BUY,2026-04-02T07:02:00.016000,2026-04-02T07:02:32.535000,0.04,-0.10037704126100358,time_exit,3
USDJPY,BUY,2026-04-02T07:03:00.398000,2026-04-02T07:03:31.697000,0.08,0.3010687942194906,time_exit,0
USDJPY,BUY,2026-04-02T07:04:00.243000,2026-04-02T07:04:30.824000,0.01,0.08153332831575229,time_exit,0
USDJPY,BUY,2026-04-02T07:05:00.118000,2026-04-02T07:05:30.733000,0.01,0.15048437157099984,time_exit,0
USDJPY,BUY,2026-04-02T07:06:00.428000,2026-04-02T07:06:36.273000,0.01,0.1253784863054208,time_exit,0
USDJPY,BUY,2026-04-02T07:09:00.422000,2026-04-02T07:09:31.161000,0.01,-0.02507632606740941,time_exit,1
USDJPY,BUY,2026-04-02T07:12:00.208000,2026-04-02T07:12:35.160000,0.02,0.3070729088672448,time_exit,0
USDJPY,BUY,2026-04-02T07:16:00.044000,2026-04-02T07:16:32.322000,0.01,0.03133126546978383,time_exit,0
USDJPY,BUY,2026-04-02T07:17:01.086000,2026-04-02T07:17:26.225000,0.01,-0.2598769516392914,stop_loss,1
USDJPY,BUY,2026-04-02T07:19:00.757000,2026-04-02T07:19:33.575000,0.02,-0.07520116311132564,time_exit,2
USDJPY,BUY,2026-04-02T07:20:00.115000,2026-04-02T07:20:30.212000,0.04,0.5012562735350926,time_exit,0
USDJPY,BUY,2026-04-02T07:21:00.116000,2026-04-02T07:21:30.318000,0.01,-0.11907074682429206,time_exit,1
