fixture_id,competition_key,season,home_team,away_team,home_goals,away_goals,priority_rank,has_sqlite_events,has_egie_events,has_cache_events,has_enrichment_events
1224233,bundesliga,2024,Borussia Mönchengladbach,SC Freiburg,1,2,99,0,0,0,0
1224232,bundesliga,2024,VfL Wolfsburg,RB Leipzig,2,3,99,0,0,0,0
1224231,bundesliga,2024,1899 Hoffenheim,FSV Mainz 05,2,0,99,0,0,0,0
1224230,bundesliga,2024,Eintracht Frankfurt,1. FC Heidenheim,3,0,99,0,0,0,0
1224229,bundesliga,2024,Bayern München,Borussia Dortmund,2,2,99,0,0,0,0
1224228,bundesliga,2024,VfB Stuttgart,Werder Bremen,1,2,99,0,0,0,0
1224226,bundesliga,2024,FC St. Pauli,Borussia Mönchengladbach,1,1,99,0,0,0,0
1224225,bundesliga,2024,VfL Bochum,VfB Stuttgart,0,4,99,0,0,0,0
1224224,bundesliga,2024,Union Berlin,VfL Wolfsburg,1,0,99,0,0,0,0
1224223,bundesliga,2024,FSV Mainz 05,Holstein Kiel,1,1,99,0,0,0,0
1224222,bundesliga,2024,FC Augsburg,Bayern München,1,3,99,0,0,0,0
1224221,bundesliga,2024,SC Freiburg,Borussia Dortmund,1,4,99,0,0,0,0
1224220,bundesliga,2024,Werder Bremen,Eintracht Frankfurt,2,0,99,0,0,0,0
1224219,bundesliga,2024,1. FC Heidenheim,Bayer Leverkusen,0,1,99,0,0,0,0
1224218,bundesliga,2024,RB Leipzig,1899 Hoffenheim,3,1,99,0,0,0,0
1224217,bundesliga,2024,Holstein Kiel,Werder Bremen,0,3,99,0,0,0,0
1224216,bundesliga,2024,Borussia Mönchengladbach,RB Leipzig,1,0,99,0,0,0,0
1224215,bundesliga,2024,VfL Wolfsburg,1. FC Heidenheim,0,1,99,0,0,0,0
1224214,bundesliga,2024,SC Freiburg,Union Berlin,1,2,99,0,0,0,0
1224213,bundesliga,2024,1899 Hoffenheim,FC Augsburg,1,1,99,0,0,0,0
1224212,bundesliga,2024,Eintracht Frankfurt,VfB Stuttgart,1,0,99,0,0,0,0
1224211,bundesliga,2024,Borussia Dortmund,FSV Mainz 05,3,1,99,0,0,0,0
1224210,bundesliga,2024,Bayern München,FC St. Pauli,3,2,99,0,0,0,0
1224209,bundesliga,2024,Bayer Leverkusen,VfL Bochum,3,1,99,0,0,0,0
1224207,bundesliga,2024,VfL Bochum,Eintracht Frankfurt,1,3,99,0,0,0,0
1224206,bundesliga,2024,Union Berlin,Bayern München,1,1,99,0,0,0,0
1224204,bundesliga,2024,FC Augsburg,VfL Wolfsburg,1,0,99,0,0,0,0
1224202,bundesliga,2024,1. FC Heidenheim,Holstein Kiel,3,1,99,0,0,0,0
1224201,bundesliga,2024,RB Leipzig,Borussia Dortmund,2,0,99,0,0,0,0
1224200,bundesliga,2024,VfB Stuttgart,Bayer Leverkusen,3,4,99,0,0,0,0
1049105,bundesliga,2023,VfB Stuttgart,Union Berlin,2,0,99,0,0,0,1
1049104,bundesliga,2023,FC Augsburg,FC Heidenheim,1,0,99,0,0,0,1
1049103,bundesliga,2023,Vfl Bochum,SC Freiburg,1,2,99,0,0,0,1
1049102,bundesliga,2023,Werder Bremen,Borussia Dortmund,1,2,99,0,0,0,1
1049101,bundesliga,2023,Borussia Monchengladbach,1. FC Köln,3,3,99,0,0,0,1
1049100,bundesliga,2023,Eintracht Frankfurt,1899 Hoffenheim,3,1,99,0,0,0,1
1049099,bundesliga,2023,Bayer Leverkusen,VfL Wolfsburg,2,0,99,0,0,0,1
1049098,bundesliga,2023,RB Leipzig,SV Darmstadt 98,2,0,99,0,0,0,1
1049097,bundesliga,2023,Bayern Munich,FSV Mainz 05,8,1,99,0,0,0,1
1049096,bundesliga,2023,SV Darmstadt 98,FC Augsburg,0,6,99,0,0,0,1
1049095,bundesliga,2023,FC Heidenheim,Eintracht Frankfurt,1,2,99,0,0,0,1
1049094,bundesliga,2023,Vfl Bochum,RB Leipzig,1,4,99,0,0,0,1
1049093,bundesliga,2023,1899 Hoffenheim,Werder Bremen,2,1,99,0,0,0,1
1049092,bundesliga,2023,1. FC Köln,Bayer Leverkusen,0,2,99,0,0,0,1
1049091,bundesliga,2023,FSV Mainz 05,Borussia Monchengladbach,1,1,99,0,0,0,1
1049090,bundesliga,2023,VfL Wolfsburg,VfB Stuttgart,2,3,99,0,0,0,1
1049089,bundesliga,2023,SC Freiburg,Bayern Munich,2,2,99,0,0,0,1
1049088,bundesliga,2023,Union Berlin,Borussia Dortmund,0,2,99,0,0,0,1
1049087,bundesliga,2023,VfB Stuttgart,1. FC Köln,1,1,99,0,0,0,1
1049086,bundesliga,2023,FC Augsburg,SC Freiburg,2,1,99,0,0,0,1
1049085,bundesliga,2023,Werder Bremen,SV Darmstadt 98,1,1,99,0,0,0,1
1049084,bundesliga,2023,Borussia Monchengladbach,Vfl Bochum,5,2,99,0,0,0,1
1049083,bundesliga,2023,Eintracht Frankfurt,VfL Wolfsburg,2,2,99,0,0,0,1
1049082,bundesliga,2023,Bayer Leverkusen,FSV Mainz 05,2,1,99,0,0,0,1
1049081,bundesliga,2023,Union Berlin,FC Heidenheim,2,2,99,0,0,0,1
1049080,bundesliga,2023,Borussia Dortmund,1899 Hoffenheim,2,3,99,0,0,0,1
1049079,bundesliga,2023,Bayern Munich,RB Leipzig,2,1,99,0,0,0,1
1049078,bundesliga,2023,SV Darmstadt 98,VfB Stuttgart,1,2,99,0,0,0,1
